4	0	0	32	3.01	36	3.49	40	3.91	44.9	4.43	45	4.36	52	4.86	60	5.25	70	5.52	75	5.58	80	5.6	90	5.57	100	5.78	110	5.76	120	5.4	130	4.85	135	4.43	135.8	4.53	140	4.05	150	3.26	160	2.67	165	2.48	170	2.32	180	2.06
5	0	0	32	3.95	36	4.49	40	4.95	43.6	5.26	45	5.4	52	5.86	60	6.2	70	6.49	75	6.56	80	6.59	90	6.75	100	6.98	110	6.9	120	6.42	130	5.85	135	5.48	137.5	5.18	140	5.09	150	4.19	160	3.44	165	3.2	170	3	180	2.67
6	0	0	32	4.78	36	5.33	40	5.76	42.3	5.86	45	6.17	52	6.7	60	7.08	70	7.28	75	7.33	80	7.34	90	7.65	100	7.77	110	7.6	120	7.33	130	6.75	135	6.31	138.8	5.83	140	5.94	150	5.04	160	4.18	165	3.91	170	3.67	180	3.28
7	0	0	32	5.48	36	5.99	40	6.4	41.5	6.72	45	6.92	52	7.31	60	7.61	70	7.83	75	7.87	80	8	90	8.33	100	8.35	110	8.2	120	7.91	130	7.42	135	7.13	140	6.75	141.3	6.69	150	5.77	160	4.89	165	4.58	170	4.31	180	3.87
8	0	0	32	6.02	36	6.55	39.7	6.94	40	7.02	45	7.37	52	7.76	60	8.06	70	8.26	75	8.31	80	8.56	90	8.85	100	8.84	110	8.72	120	8.39	130	7.96	135	7.71	140	7.37	144.7	6.94	150	6.43	160	5.54	165	5.23	170	4.94	180	4.44
9	0	0	32	6.47	36	7.03	37.9	7.08	40	7.37	45	7.73	52	8.11	60	8.41	70	8.65	75	8.71	80	8.98	90	9.25	100	9.31	110	9.21	120	8.87	130	8.44	135	8.21	140	7.89	148.2	7.2	150	7.09	160	6.13	165	5.81	170	5.52	180	5
10	0	0	32	6.87	36	7.29	37.2	7.3	40	7.64	45	7.99	52	8.37	60	8.71	70	9.01	75	9.1	80	9.33	90	9.57	100	9.64	110	9.68	120	9.38	130	8.92	135	8.65	140	8.34	150	7.58	151.4	7.61	160	6.75	165	6.36	170	6.05	180	5.52
12	0	0	32	7.31	35.1	7.66	36	7.71	40	8.04	45	8.37	52	8.77	60	9.19	70	9.61	75	9.8	80	9.94	90	10.01	100	10.16	110	10.31	120	10.47	130	10.01	135	9.63	140	9.24	150	8.41	155.2	8.29	160	7.71	165	7.4	170	7.1	180	6.48
14	0	0	32	7.61	33.9	7.86	36	8	40	8.31	45	8.64	52	9.08	60	9.56	70	10.13	75	10.44	80	10.73	90	10.98	100	10.84	110	10.99	120	11.35	130	11.33	135	10.84	140	10.28	150	9.23	160	8.51	162.9	9.27	165	8.21	170	7.91	180	7.37
16	0	0	32	7.84	33.1	8.01	36	8.21	40	8.52	45	8.87	52	9.35	60	9.88	70	10.53	75	10.91	80	11.29	90	11.98	100	12.04	110	11.73	120	12.25	130	12.72	135	12.33	140	11.6	150	10.2	160	9.31	164.2	12.6	165	8.96	170	8.62	180	8.09
20	0	0	32	8.12	32.5	8.23	36	8.49	40	8.82	45	9.22	52	9.78	60	10.3	70	11.21	75	11.7	80	12.22	90	13.27	100	14.21	110	14.21	120	14.06	130	14.72	135	15.01	140	14.8	146.1	15.76	150	12.77	160	11.27	165	10.71	170	10.18	180	9.43
25	0	0	32	8.29	32.9	8.52	36	8.7	40	9.08	45	9.55	52	10.17	60	10.79	70	11.93	75	12.54	80	13.17	90	14.37	100	15.49	110	16.38	120	16.12	130	16.7	135	17.1	140	17.52	148.7	18.08	150	16.24	160	14.43	165	13.6	170	12.73	180	11.49
30	0	0	32	8.35	33.8	8.71	36	8.79	40	9.21	45	9.74	52	10.45	60	11.13	70	12.5	75	13.23	80	13.95	90	15.23	100	16.34	110	17.42	120	18.14	130	18.37	135	18.92	140	19.51	150	19.2	152.8	20.54	160	17.33	165	16.47	170	15.57	180	14.07
